customer_id,price_sensitivity,quality_expectations,travel_frequency,avg_spend_per_night,avg_nights_stay,avg_lead_time,cancellation_rate,avg_overall_rating,Cluster,Segment_Name
CUST-000003,0.505,0.691,6,243.11333333333332,6.666666666666667,33.333333333333336,0.3333333333333333,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000004,0.118,0.794,8,375.764,6.0,91.0,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000005,0.524,0.595,3,224.1725,3.0,49.5,0.0,3.6666666666666665,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000006,0.76,0.361,4,133.70333333333335,2.0,49.333333333333336,0.0,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000007,0.936,0.296,4,167.42333333333332,1.6666666666666667,33.666666666666664,0.0,3.8,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000008,0.811,0.211,2,98.705,1.5,37.5,0.0,5.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000009,0.939,0.334,3,137.12666666666667,1.6666666666666667,46.0,0.0,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000011,0.679,0.508,6,219.265,2.0,75.25,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000013,0.124,0.751,11,209.0,7.0,62.0,0.0,3.75,0,"Happy VIP (High Spend, High Sat)"
CUST-000014,0.201,0.808,12,315.1,6.5,77.5,0.0,3.5,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000015,0.479,0.632,8,312.41,5.0,30.0,0.0,3.6666666666666665,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000016,0.57,0.559,3,186.594,1.8,53.2,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000017,0.128,0.758,8,425.49,4.75,90.25,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000018,0.726,0.569,3,137.786,1.8,67.4,0.2,3.6666666666666665,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000019,0.267,0.789,12,395.952,6.4,72.6,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000020,0.599,0.592,5,167.565,3.0,54.5,0.0,3.75,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000021,0.416,0.79,9,262.84999999999997,5.666666666666667,59.333333333333336,0.0,3.6666666666666665,0,"Happy VIP (High Spend, High Sat)"
CUST-000023,0.842,0.402,3,85.95,2.0,30.0,0.0,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000024,0.428,0.655,15,363.97,5.0,73.0,0.0,5.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000027,0.563,0.616,7,254.648,1.6,45.8,0.0,3.6666666666666665,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000029,0.828,0.299,3,135.97,1.6666666666666667,14.666666666666666,0.0,4.166666666666667,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000030,0.74,0.342,5,181.59,1.5,28.5,0.0,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000031,0.252,0.796,10,392.5,7.0,91.5,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000032,0.478,0.684,3,229.88666666666666,2.0,68.0,0.0,3.5,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000033,0.353,0.709,9,359.64166666666665,5.5,67.0,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000034,0.295,0.795,9,403.34000000000003,4.5,80.5,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000035,0.502,0.676,3,208.03333333333333,2.0,89.0,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000036,0.591,0.643,2,198.57833333333335,2.0,85.66666666666667,0.0,3.6666666666666665,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000037,0.82,0.348,2,115.45,1.2,18.4,0.2,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000039,0.829,0.301,4,160.64333333333335,2.0,23.0,0.0,4.25,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000040,0.221,0.844,10,373.35,6.0,81.0,0.0,3.5,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000041,0.464,0.636,15,491.06,5.333333333333333,84.0,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000042,0.377,0.622,10,328.3225,5.0,68.0,0.25,3.8,0,"Happy VIP (High Spend, High Sat)"
CUST-000043,0.495,0.623,3,161.575,2.5,36.0,0.0,3.3333333333333335,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000045,0.109,0.856,8,429.59000000000003,5.5,68.5,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000046,0.927,0.409,5,120.75666666666666,2.0,24.0,0.3333333333333333,3.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000047,0.117,0.87,11,440.14750000000004,6.0,73.25,0.0,3.3333333333333335,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000048,0.516,0.524,6,222.3033333333333,2.6666666666666665,41.666666666666664,0.0,4.2,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000049,0.385,0.717,12,409.25,4.0,54.0,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000050,0.751,0.338,5,117.73333333333335,2.0,16.666666666666668,0.0,3.6666666666666665,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000051,0.844,0.394,2,166.31,1.8333333333333333,28.5,0.0,3.6666666666666665,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000052,0.675,0.532,6,202.89,4.0,61.0,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000053,0.241,0.782,12,323.86333333333334,6.0,104.66666666666667,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000054,0.85,0.222,2,169.75,2.0,33.5,0.0,4.25,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000055,0.38,0.731,10,415.01,4.0,62.0,0.0,3.6,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000056,0.102,0.92,6,461.05,6.0,71.0,0.0,3.6666666666666665,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000057,0.875,0.354,2,138.628,2.0,30.4,0.4,3.5,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000058,0.455,0.58,7,169.57000000000002,2.0,52.0,0.3333333333333333,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000059,0.314,0.618,13,360.42499999999995,6.75,71.0,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000060,0.293,0.841,9,419.79999999999995,5.666666666666667,93.66666666666667,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000061,0.114,0.809,10,287.88,6.0,63.0,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000062,0.45,0.589,5,216.25,4.0,52.0,0.0,3.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000063,0.492,0.617,6,148.5533333333333,2.8333333333333335,43.5,0.0,3.6666666666666665,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000064,0.557,0.563,4,242.32666666666668,3.0,65.33333333333333,0.0,3.5,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000065,0.48,0.65,6,136.788,2.6,32.4,0.0,4.5,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000066,0.279,0.804,9,332.70500000000004,4.5,82.0,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000067,0.561,0.553,3,252.9725,2.25,81.25,0.25,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000068,0.584,0.635,6,188.21,3.0,42.0,0.25,3.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000069,0.823,0.446,3,105.685,1.5,32.5,0.0,3.3333333333333335,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000070,0.45,0.626,13,414.02,3.0,74.33333333333333,0.0,3.0,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000071,0.455,0.691,8,330.5675,4.0,59.0,0.0,3.5,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000072,0.376,0.62,12,220.25,3.0,51.0,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000073,0.592,0.569,8,173.31,3.0,35.0,1.0,3.5,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000074,0.18,0.84,12,385.865,5.0,83.0,0.0,3.6666666666666665,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000076,0.484,0.527,6,223.29,2.0,50.5,0.0,3.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000077,0.572,0.51,5,183.305,3.5,61.0,0.0,4.666666666666667,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000078,0.419,0.649,5,280.19,7.333333333333333,42.666666666666664,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000079,0.588,0.636,4,207.86999999999998,3.142857142857143,67.71428571428571,0.14285714285714285,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000080,0.202,0.905,9,304.37333333333333,7.0,78.66666666666667,0.0,3.6666666666666665,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000081,0.274,0.878,12,376.90999999999997,7.0,73.5,0.0,3.5,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000082,0.786,0.278,5,137.842,1.6,9.2,0.0,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000083,0.456,0.788,14,350.38,3.0,65.0,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000084,0.405,0.646,4,236.94400000000002,2.4,30.0,0.0,3.7142857142857144,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000085,0.524,0.687,6,268.4975,2.75,74.0,0.0,4.0,1,"Standard Guest (Mid Spend, Mid Sat)"
CUST-000086,0.224,0.767,7,351.705,4.833333333333333,77.16666666666667,0.0,4.0,0,"Happy VIP (High Spend, High Sat)"
CUST-000087,0.325,0.705,13,424.39099999999996,5.3,76.6,0.0,3.6,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000088,0.474,0.787,15,381.54999999999995,2.5,75.0,0.0,3.8,0,"Happy VIP (High Spend, High Sat)"
CUST-000090,0.722,0.277,2,120.425,1.6666666666666667,37.833333333333336,0.0,4.0,2,"Budget Explorer (Low Spend, Good Sat)"
CUST-000091,0.27,0.819,12,321.04499999999996,6.0,93.5,0.0,3.6666666666666665,3,"At-Risk VIP (High Spend, Low Sat)"
CUST-000092,0.891,0.399,4,170.0075,1.25,23.75,0.0,3.75,2,"Budget Explorer (Low Spend, Good Sat)"
